DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,220662684,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,65443607,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,106123175,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,201069434,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,234182255,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-01,3068340,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-02,3024297,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-03,3640192,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-04,4071669,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-05,3878880,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-06,5485937,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-07,5763002,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-08,6408593,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-09,4479341,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-10,3314215,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-11,3115293,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-12,3698447,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-01,2966909,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-02,3063714,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-03,3724753,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-04,4169882,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-05,3910667,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-06,5433267,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-07,5705819,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-08,6694113,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-09,4411278,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2019-10,3486480,,,,,,,,,,,,,,,,
