DATAFLOW,LAST UPDATE,freq,duration,c_dest,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Switzerland,2017,6134362,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Switzerland,2018,6224641,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Switzerland,2019,6086959,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Switzerland,2020,5486876,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Switzerland,2021,5779245,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Switzerland,2022,6145779,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2014,444501,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2015,476250,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2016,491014,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2017,491783,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2018,507317,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2019,537308,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2020,372813,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2021,407556,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2022,446633,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Cyprus,2023,484365,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2014,7495851,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2015,7190847,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2016,7214653,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2017,7284097,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2018,6995226,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2019,7017668,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2020,6122945,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2021,6273953,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2022,6590668,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Czechia,2023,6418909,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2014,53295033,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2015,53820334,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2016,53761868,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2017,51707246,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2018,53945660,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2019,54875841,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2020,43064242,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2021,46994591,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2022,49762712,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Germany,2023,53565918,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2014,3864593,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2015,3765894,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2016,3832039,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2017,3404878,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2018,3400682,e
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2019,2830185,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2020,1934209,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Denmark,2022,1866262,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2014,177553852,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2015,184666020,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2016,186536728,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2017,185565954,u
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2018,192366730,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2019,194488555,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2020,157146052,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2021,168001203,u
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2022,185683376,u
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Euro area – 20 countries (from 2023),2023,196665061,u
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2014,787749,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2015,729477,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2016,759058,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2017,746057,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2018,877354,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2019,800306,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2020,274680,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2021,375140,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2022,513141,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Estonia,2023,584033,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2014,3578609,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2015,3380943,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2016,3249406,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2017,3592564,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2018,3915849,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2019,3747838,
