DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,BUS,9,9,TOTAL,99,2021,562,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,BUS,9,9,TOTAL,99,2022,324,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,BUS,9,9,TOTAL,99,2023,482,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOL,9,9,TOTAL,99,2019,10393,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOL,9,9,TOTAL,99,2020,4525,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOL,9,9,TOTAL,99,2021,5911,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOL,9,9,TOTAL,99,2022,8652,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOL,9,9,TOTAL,99,2023,4978,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLL,9,9,TOTAL,99,2019,7423,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLL,9,9,TOTAL,99,2020,3000,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLL,9,9,TOTAL,99,2021,4298,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLL,9,9,TOTAL,99,2022,6077,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLL,9,9,TOTAL,99,2023,3395,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLS,9,9,TOTAL,99,2019,2969,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLS,9,9,TOTAL,99,2020,1525,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLS,9,9,TOTAL,99,2021,1613,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLS,9,9,TOTAL,99,2022,2575,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,HOLS,9,9,TOTAL,99,2023,1583,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,TRIP,9,9,TOTAL,99,2019,11136,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,TRIP,9,9,TOTAL,99,2020,4819,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,TRIP,9,9,TOTAL,99,2021,6473,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,TRIP,9,9,TOTAL,99,2022,8977,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC1,TRIP,9,9,TOTAL,99,2023,5460,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,BUS,9,9,TOTAL,99,2019,,0,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,BUS,9,9,TOTAL,99,2020,0,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,BUS,9,9,TOTAL,99,2021,,0,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,BUS,9,9,TOTAL,99,2022,,0,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,BUS,9,9,TOTAL,99,2023,,0,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOL,9,9,TOTAL,99,2019,2737,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOL,9,9,TOTAL,99,2020,1796,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOL,9,9,TOTAL,99,2021,1452,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOL,9,9,TOTAL,99,2022,7161,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOL,9,9,TOTAL,99,2023,3920,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOLL,9,9,TOTAL,99,2019,1745,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOLL,9,9,TOTAL,99,2020,1435,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC2,HOLL,9,9,TOTAL,99,2021,1133,,,,,,,,,,,,,,
