DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Belgium,2024-07,6059220,u
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Belgium,2024-08,5952026,u
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Belgium,2024-09,3408854,u
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2023-12,,c
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-01,1030858,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-02,1181933,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-03,1074827,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-04,1012373,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-05,1426868,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-06,3535534,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-07,5957911,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-08,6329567,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Bulgaria,2024-09,3068839,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Switzerland,2023-12,3826232,
