DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD1,ALL,ALL,ALL,TOT,2020,553878,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD1,ALL,ALL,ALL,TOT,2021,758160,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD1,ALL,ALL,ALL,TOT,2022,834277,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD1,ALL,ALL,ALL,TOT,2023,840411,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD2,ALL,ALL,ALL,TOT,2018,727123,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD2,ALL,ALL,ALL,TOT,2019,727604,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD2,ALL,ALL,ALL,TOT,2020,452980,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD2,ALL,ALL,ALL,TOT,2021,623957,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD2,ALL,ALL,ALL,TOT,2022,727972,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD2,ALL,ALL,ALL,TOT,2023,758421,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD3,ALL,ALL,ALL,TOT,2018,5893246,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD3,ALL,ALL,ALL,TOT,2019,6019832,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD3,ALL,ALL,ALL,TOT,2020,4227632,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD3,ALL,ALL,ALL,TOT,2021,5181202,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD3,ALL,ALL,ALL,TOT,2022,5923696,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD3,ALL,ALL,ALL,TOT,2023,6118782,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD4,ALL,ALL,ALL,TOT,2018,1287362,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD4,ALL,ALL,ALL,TOT,2019,1318763,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD4,ALL,ALL,ALL,TOT,2020,838192,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD4,ALL,ALL,ALL,TOT,2021,1087736,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD4,ALL,ALL,ALL,TOT,2022,1275118,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD4,ALL,ALL,ALL,TOT,2023,1311833,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD5,ALL,ALL,ALL,TOT,2018,5713397,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD5,ALL,ALL,ALL,TOT,2019,5812533,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD5,ALL,ALL,ALL,TOT,2020,3825884,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD5,ALL,ALL,ALL,TOT,2021,4754097,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD5,ALL,ALL,ALL,TOT,2022,5620684,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITD5,ALL,ALL,ALL,TOT,2023,5780043,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITDA,ALL,ALL,ALL,TOT,2018,1478390,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITDA,ALL,ALL,ALL,TOT,2019,1497574,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITDA,ALL,ALL,ALL,TOT,2020,1006858,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITDA,ALL,ALL,ALL,TOT,2021,1382117,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITDA,ALL,ALL,ALL,TOT,2022,1562249,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITDA,ALL,ALL,ALL,TOT,2023,1598832,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE1,ALL,ALL,ALL,TOT,2018,4238477,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE1,ALL,ALL,ALL,TOT,2019,4315591,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE1,ALL,ALL,ALL,TOT,2020,2473168,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE1,ALL,ALL,ALL,TOT,2021,3291710,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE1,ALL,ALL,ALL,TOT,2022,4094447,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE1,ALL,ALL,ALL,TOT,2023,4274786,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE2,ALL,ALL,ALL,TOT,2018,1159347,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITE2,ALL,ALL,ALL,TOT,2019,1184463,,,,,,,,,,,,,,,,
