DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,STARTING_MONTH,RESERVATION_TYPE,TYPE_ACCOMMODATION_BOOKING,TYPE_TRANSPORT_BOOKING,BOOKING_INTERNET,MEAN_TRANSPORT_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_STARTING_MONTH,NOTE_RESERVATION_TYPE,NOTE_TYPE_ACCOMMODATION_BOOKING,NOTE_TYPE_TRANSPORT_BOOKING,NOTE_BOOKING_INTERNET,NOTE_MEAN_TRANSPORT_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BOAT,2022,,0,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BOAT_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BOAT,2023,,0,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BOAT_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BUS,2018,263,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BUS_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BUS,2019,295,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BUS_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BUS,2020,,0,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BUS_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BUS,2021,,0,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BUS_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BUS,2022,143,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BUS_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,BUS,2023,143,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__BUS_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAM,2018,0,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAM,2019,0,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAM,2020,42,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAM,2021,0,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAM,2022,0,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAM,2023,0,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAR,2018,2425,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__CAR_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAR,2019,2471,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__CAR_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAR,2020,1247,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__CAR_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAR,2021,1212,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__CAR_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAR,2022,1363,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__CAR_N1,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,CAR,2023,1449,,,,,,,,T_BIS__YEAR_N1,,,,,TIPO_MEZZOTRASP1__CAR_N1,,,,
