DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,AREA_DESTINATION,TYPE_TRIP,REASONS_NO_HOLIDAYS,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_AREA_DESTINATION,NOTE_TYPE_TRIP,NOTE_REASONS_NO_HOLIDAYS,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y_GE65,2023,10612,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-24,2018,3011,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-24,2019,3063,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-24,2020,4411,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-24,2021,3808,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-24,2022,3355,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-24,2023,3217,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-34,2018,6057,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-34,2019,5813,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-34,2020,8470,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-34,2021,7546,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-34,2022,5852,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y15-34,2023,6167,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y25-34,2018,3046,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
