DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,STARTING_MONTH,RESERVATION_TYPE,TYPE_ACCOMMODATION_BOOKING,TYPE_TRANSPORT_BOOKING,BOOKING_INTERNET,MEAN_TRANSPORT_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_STARTING_MONTH,NOTE_RESERVATION_TYPE,NOTE_TYPE_ACCOMMODATION_BOOKING,NOTE_TYPE_TRANSPORT_BOOKING,NOTE_BOOKING_INTERNET,NOTE_MEAN_TRANSPORT_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,FEB,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,357,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JAN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,600,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JAN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,360,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JAN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,194,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JAN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,346,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JAN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,510,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUL,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,311,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUL,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,305,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUL,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,288,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUL,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,400,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUL,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,244,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,856,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,199,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,369,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,441,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,JUN,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,495,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,542,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,,0,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,191,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,288,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,448,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAY,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,870,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAY,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,,0,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAY,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,283,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAY,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,355,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,MAY,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,393,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,NOV,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,845,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,NOV,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,115,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,NOV,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,283,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,NOV,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,149,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,NOV,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,255,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,OCT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,652,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,OCT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,207,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,OCT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,260,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,OCT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,425,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,OCT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,151,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,SEPT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,755,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,SEPT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,152,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,SEPT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,315,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,SEPT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,345,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,SEPT,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,360,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,7788,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,2503,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,2957,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,3771,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,4108,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,6428,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,0,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,931,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,3950,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,4765,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,13816,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,11397,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,12229,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,12050,,,,,,,,,,,,,,,,,
