DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,TYPE_TRIP,MAIN_DESTINATION,MAIN_TYPE_ACCOMMODATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_TYPE_TRIP,NOTE_MAIN_DESTINATION,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2019-Q1,106,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2019-Q2,92,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2019-Q3,72,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2019-Q4,100,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2020-Q1,99,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2020-Q2,75,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2020-Q3,73,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2020-Q4,87,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2021-Q1,60,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2021-Q2,78,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2021-Q3,78,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2021-Q4,109,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2022-Q1,114,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2022-Q2,99,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2022-Q3,80,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2022-Q4,114,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2023-Q1,112,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2023-Q2,107,,,,,,,,,,,
